coin,threshold,window,precision,recall,f1,specificity,avg_lead_days,fa_per_month,TP,FP,TN,FN
DAI,1.5,10,0.0463,0.9474,0.0883,0.0414,4.15,27.81,54,1112,48,3
DAI,3.0,10,0.0426,0.8246,0.081,0.0888,4.02,26.44,47,1057,103,10
DAI,2.0,10,0.0422,0.8421,0.0804,0.0612,3.98,27.24,48,1089,71,9
DAI,2.5,10,0.0422,0.8246,0.0802,0.0793,4.02,26.71,47,1068,92,10
DAI,1.5,7,0.0403,0.9792,0.0774,0.0428,3.45,27.99,47,1119,50,1
DAI,3.0,7,0.0371,0.8542,0.0712,0.0907,3.29,26.59,41,1063,106,7
DAI,2.0,7,0.0369,0.875,0.0709,0.0633,3.26,27.39,42,1095,74,6
DAI,2.5,7,0.0368,0.8542,0.0705,0.0813,3.29,26.86,41,1074,95,7
DAI,1.5,5,0.0326,0.9744,0.0631,0.0424,2.74,28.21,38,1128,50,1
DAI,2.0,5,0.0308,0.8974,0.0595,0.0645,2.63,27.56,35,1102,76,4
DAI,3.0,5,0.0308,0.8718,0.0595,0.0917,2.65,26.76,34,1070,108,5
DAI,2.5,5,0.0305,0.8718,0.0589,0.0823,2.65,27.04,34,1081,97,5
USDC,1.5,10,0.0298,0.4848,0.0562,0.0956,4.5,26.04,32,1041,110,34
USDC,2.0,10,0.029,0.4545,0.0546,0.1286,4.6,25.09,30,1003,148,36
USDC,1.5,7,0.0242,0.4815,0.0461,0.0997,3.38,26.19,26,1047,116,28
USDC,2.0,7,0.0232,0.4444,0.0442,0.1324,3.42,25.24,24,1009,154,30
USDC,2.5,10,0.0231,0.3485,0.0434,0.1564,4.61,24.29,23,971,180,43
USDC,1.5,5,0.0214,0.5111,0.0411,0.1041,3.0,26.26,23,1050,122,22
USDC,2.0,5,0.0203,0.4667,0.039,0.1365,3.0,25.31,21,1012,160,24
USDC,3.0,10,0.0193,0.2879,0.0362,0.1625,5.0,24.11,19,964,187,47
USDC,2.5,7,0.0191,0.3519,0.0363,0.1617,3.63,24.39,19,975,188,35
USDC,2.5,5,0.0161,0.3556,0.0308,0.1655,3.12,24.46,16,978,194,29
USDC,3.0,7,0.0153,0.2778,0.0289,0.1677,3.87,24.21,15,968,195,39
USDC,3.0,5,0.0122,0.2667,0.0233,0.1715,3.25,24.29,12,971,201,33
USDP,3.0,10,0.1976,0.9704,0.3283,0.211,5.07,20.01,197,800,214,6
USDP,2.5,10,0.1962,0.9704,0.3264,0.2041,5.07,20.18,197,807,207,6
USDP,2.0,10,0.1931,0.9704,0.3222,0.1884,5.07,20.59,197,823,191,6
USDP,1.5,10,0.1864,0.9704,0.3127,0.1519,5.07,21.51,197,860,154,6
USDP,3.0,7,0.1464,0.9605,0.2541,0.2009,3.69,21.29,146,851,214,6
USDP,2.5,7,0.1454,0.9605,0.2526,0.1944,3.69,21.46,146,858,207,6
USDP,2.0,7,0.1431,0.9605,0.2491,0.1793,3.69,21.86,146,874,191,6
USDP,1.5,7,0.1381,0.9605,0.2415,0.1446,3.69,22.79,146,911,154,6
USDP,3.0,5,0.1113,0.9569,0.1995,0.1953,2.81,22.16,111,886,215,5
USDP,2.5,5,0.1106,0.9569,0.1982,0.1889,2.81,22.34,111,893,208,5
USDP,2.0,5,0.1088,0.9569,0.1954,0.1744,2.81,22.74,111,909,192,5
USDP,1.5,5,0.105,0.9569,0.1893,0.1408,2.81,23.66,111,946,155,5
USDT,2.5,10,0.0496,1.0,0.0944,0.1782,5.5,23.99,50,959,208,0
USDT,2.0,10,0.0488,1.0,0.0931,0.1654,5.5,24.36,50,974,193,0
USDT,1.5,10,0.0482,1.0,0.092,0.1542,5.5,24.69,50,987,180,0
USDT,3.0,10,0.0472,0.92,0.0898,0.2039,5.24,23.24,46,929,238,4
USDT,3.0,7,0.0349,0.9714,0.0673,0.2039,3.91,23.54,34,941,241,1
USDT,2.5,7,0.0347,1.0,0.067,0.176,4.0,24.36,35,974,208,0
USDT,2.0,7,0.0342,1.0,0.0661,0.1633,4.0,24.74,35,989,193,0
USDT,1.5,7,0.0338,1.0,0.0653,0.1523,4.0,25.06,35,1002,180,0
USDT,3.0,5,0.0256,1.0,0.05,0.203,3.0,23.76,25,950,242,0
USDT,2.5,5,0.0248,1.0,0.0484,0.1745,3.0,24.61,25,984,208,0
USDT,2.0,5,0.0244,1.0,0.0477,0.1619,3.0,24.99,25,999,193,0
USDT,1.5,5,0.0241,1.0,0.0471,0.151,3.0,25.31,25,1012,180,0
UST,2.5,5,0.6667,0.24,0.3529,0.9868,2.5,0.36,6,3,224,19
UST,3.0,5,0.6667,0.24,0.3529,0.9868,2.5,0.36,6,3,224,19
UST,2.5,7,0.6667,0.1714,0.2727,0.9862,2.5,0.36,6,3,214,29
UST,3.0,7,0.6667,0.1714,0.2727,0.9862,2.5,0.36,6,3,214,29
UST,2.5,10,0.6667,0.12,0.2034,0.9851,2.5,0.36,6,3,199,44
UST,3.0,10,0.6667,0.12,0.2034,0.9851,2.5,0.36,6,3,199,44
UST,2.0,10,0.2069,0.24,0.2222,0.7723,5.0,5.56,12,46,156,38
UST,1.5,10,0.1867,0.28,0.224,0.698,4.57,7.37,14,61,141,36
UST,2.0,7,0.1552,0.2571,0.1935,0.7742,3.67,5.92,9,49,168,26
UST,1.5,7,0.1467,0.3143,0.2,0.7051,3.36,7.73,11,64,153,24
UST,2.0,5,0.1207,0.28,0.1687,0.7753,2.86,6.16,7,51,176,18
UST,1.5,5,0.12,0.36,0.18,0.7093,2.67,7.97,9,66,161,16
